season,team,playcaller,role,hc_2026,confidence,notes
2025,DET,John Morton,OC,,high,
2025,GB,Matt LaFleur,HC,,high,
2025,HOU,Nick Caley,OC,,high,
2025,IND,Shane Steichen,HC,,high,
2025,JAX,Liam Coen,HC,,high,
2025,KC,Andy Reid,HC,,high,Nagy OC non-caller
2025,LA,Sean McVay,HC,,high,Mike LaFleur OC non-caller
2025,LAC,Greg Roman,OC,,high,
2025,LV,Chip Kelly,OC,,high,
2025,MIA,Mike McDaniel,HC,,high,
2025,MIN,Kevin O'Connell,HC,,high,
2025,NE,Josh McDaniels,OC,,high,
2025,NO,Kellen Moore,HC,,high,
2025,NYG,Brian Daboll,HC,,med,fired late season
2025,NYJ,Tanner Engstrand,OC,,high,
2025,PHI,Kevin Patullo,OC,,high,
2025,PIT,Arthur Smith,OC,,high,
2025,SEA,Klint Kubiak,OC,,high,
2025,SF,Kyle Shanahan,HC,,high,
2025,TB,Josh Grizzard,OC,,high,
2025,TEN,Brian Callahan,HC,,low,fired in-season; interim playcalling shuffle
2025,WAS,Kliff Kingsbury,OC,,high,
2026,ARI,Mike LaFleur,HC,Mike LaFleur,med,new HC; Hackett OC; LaFleur lineage from LA Rams OC
2026,ATL,Tommy Rees,OC,Kevin Stefanski,low,Stefanski-Rees reunion; unclear who calls
2026,BAL,Declan Doyle,OC,Jesse Minter,high,hired with explicit play-calling duties; from CHI
2026,BUF,Joe Brady,HC,Joe Brady,med,promoted; likely keeps calling; Carmichael OC
2026,CAR,Dave Canales,HC,Dave Canales,high,
2026,CHI,Ben Johnson,HC,Ben Johnson,high,Press Taylor promoted OC non-caller
2026,CIN,Zac Taylor,HC,Zac Taylor,high,
2026,CLE,Todd Monken,HC,Todd Monken,med,new HC; called plays in BAL; Switzer OC
2026,DAL,Brian Schottenheimer,HC,Brian Schottenheimer,high,
2026,DEN,Sean Payton,HC,Sean Payton,high,
2026,DET,Drew Petzing,OC,Dan Campbell,med,new OC; lineage from ARI
2026,GB,Matt LaFleur,HC,Matt LaFleur,high,
2026,HOU,Nick Caley,OC,DeMeco Ryans,high,
2026,IND,Shane Steichen,HC,Shane Steichen,high,
2026,JAX,Liam Coen,HC,Liam Coen,high,
2026,KC,Andy Reid,HC,Andy Reid,high,Bieniemy back as OC non-caller
2026,LA,Sean McVay,HC,Sean McVay,high,
2026,LAC,Mike McDaniel,OC,Jim Harbaugh,med,new OC; strong lineage from MIA HC
2026,LV,Klint Kubiak,HC,Klint Kubiak,med,new HC; likely calls; lineage from SEA; Janocko OC
2026,MIA,Bobby Slowik,OC,Jeff Hafley,med,promoted; defensive HC; Slowik lineage from HOU
2026,MIN,Kevin O'Connell,HC,Kevin O'Connell,high,
2026,NE,Josh McDaniels,OC,Mike Vrabel,med,carryover assumed
2026,NO,Kellen Moore,HC,Kellen Moore,high,
2026,NYG,Matt Nagy,OC,John Harbaugh,med,defensive/ST HC; Nagy lineage thin (Reid called in KC)
2026,NYJ,Frank Reich,OC,Aaron Glenn,med,new OC; lineage from old IND/PHI stints
2026,PHI,Sean Mannion,OC,Nick Sirianni,low,new OC; first play-calling job
2026,PIT,Mike McCarthy,HC,Mike McCarthy,med,new HC; historically calls; lineage from DAL
2026,SEA,Brian Fleury,OC,Mike Macdonald,low,new OC; first play-calling job; Kubiak-adjacent system
2026,SF,Kyle Shanahan,HC,Kyle Shanahan,high,
2026,TB,Zac Robinson,OC,Todd Bowles,med,new OC; lineage from ATL
2026,TEN,Brian Daboll,OC,Robert Saleh,med,defensive HC; Daboll lineage from NYG
2026,WAS,David Blough,OC,Dan Quinn,low,promoted; first play-calling job
